{-9/4, 3*sqrt(7)/4}
{-71/32 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/32 + 21*sqrt(7)/32}
{-215/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 23*sqrt(7)/32}
{-217/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/32 + 25*sqrt(7)/32}
{-73/32 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 27*sqrt(7)/32}
{-67/32 - 3*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(3)/32 + sqrt(11)/32 + sqrt(231)/32 + 9*sqrt(7)/32}
{-67/32 - 3*sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(11)/32 + 7*sqrt(3)/96 + sqrt(231)/32 + 9*sqrt(7)/32}
{-203/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 11*sqrt(7)/32}
{-205/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
{-107/48 + sqrt(21)/16, sqrt(3)/48 + 11*sqrt(7)/16}
{-35/16 + 3*sqrt(21)/16, sqrt(3)/16 + 9*sqrt(7)/16}
{-17/8 + 3*sqrt(21)/8, sqrt(3)/8 + 3*sqrt(7)/8}
{-73/32 + sqrt(33)/96 + sqrt(21)*(-3 + sqrt(33))/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/32 + 27*sqrt(7)/32}
{-9/4 + sqrt(21)/8, sqrt(3)/24 + 3*sqrt(7)/4}
{-9/4 + sqrt(21)/4, sqrt(3)/12 + 3*sqrt(7)/4}
{-9/4 + 3*sqrt(21)/8, sqrt(3)/8 + 3*sqrt(7)/4}
