{-9/4, 3*sqrt(7)/4}
{-209/96 - sqrt(77)/32 - sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-109/48 + sqrt(21)/16, sqrt(3)/48 + 13*sqrt(7)/16}
{-37/16 + 3*sqrt(21)/16, sqrt(3)/16 + 15*sqrt(7)/16}
{-19/8 + 3*sqrt(21)/8, sqrt(3)/8 + 9*sqrt(7)/8}
{-71/32 - sqrt(33)/96 - sqrt(21)*(3 - sqrt(33))/32, -sqrt(3)/32 + sqrt(11)/32 + sqrt(231)/32 + 21*sqrt(7)/32}
{-37/16 + sqrt(21)/16, sqrt(3)/48 + 15*sqrt(7)/16}
{-19/8 + sqrt(21)/8, sqrt(3)/24 + 9*sqrt(7)/8}
{-39/16 + 3*sqrt(21)/16, sqrt(3)/16 + 21*sqrt(7)/16}
{-223/96 - sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(11)/96 + 7*sqrt(3)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-223/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 31*sqrt(7)/32}
{-227/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 35*sqrt(7)/32}
{-217/96 - sqrt(77)/32 - sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 25*sqrt(7)/32}
{-229/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 37*sqrt(7)/32}
{-73/32 - sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 27*sqrt(7)/32}
{-75/32 - sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 33*sqrt(7)/32}
{-113/48 - sqrt(21)/16 + sqrt(77)/8, -sqrt(3)/48 + sqrt(11)/24 + 17*sqrt(7)/16}
{-7/3 - sqrt(21)/8 + sqrt(77)/8, -sqrt(3)/24 + sqrt(11)/24 + sqrt(7)}
{-107/48 - sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-53/24 - sqrt(33)/48 + sqrt(77)/16, sqrt(11)/48 + sqrt(231)/16 + 5*sqrt(7)/8}
{-55/24 - sqrt(21)/8 + sqrt(77)/8, -sqrt(3)/24 + sqrt(11)/24 + 7*sqrt(7)/8}
{-109/48 - 3*sqrt(21)/16 + sqrt(77)/8, -sqrt(3)/16 + sqrt(11)/24 + 13*sqrt(7)/16}
{-221/96 - sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, sqrt(11)/96 + 7*sqrt(3)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-223/96 - sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-9/4 - sqrt(33)/48 + 3*sqrt(21)/16, sqrt(3)/16 + sqrt(231)/16 + 3*sqrt(7)/4}
{-75/32 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 33*sqrt(7)/32}
{-221/96 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 29*sqrt(7)/32}
{-7/3 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + sqrt(7)}
{-113/48 + sqrt(77)/16, sqrt(11)/48 + 17*sqrt(7)/16}
{-217/96 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 25*sqrt(7)/32}
{-35/16 - sqrt(33)/48 + sqrt(21)/8, sqrt(3)/24 + sqrt(231)/16 + 9*sqrt(7)/16}
{-73/32 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 27*sqrt(7)/32}
{-37/16 + sqrt(77)/16, sqrt(11)/48 + 15*sqrt(7)/16}
{-215/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-55/24 - sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + 7*sqrt(7)/8}
{-71/32 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-73/32 - 3*sqrt(77)/32 - sqrt(33)/96 + 9*sqrt(21)/32, -sqrt(11)/32 + 3*sqrt(3)/32 + sqrt(231)/32 + 27*sqrt(7)/32}
{-39/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 + sqrt(3)/24 + 21*sqrt(7)/16}
{-227/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 5*sqrt(3)/96 + 35*sqrt(7)/32}
{-55/24 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/16 + 7*sqrt(7)/8}
{-115/48 + sqrt(77)/16, sqrt(11)/48 + 19*sqrt(7)/16}
{-109/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(11)/48 + sqrt(3)/24 + 13*sqrt(7)/16}
{-113/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(11)/48 + sqrt(3)/24 + 17*sqrt(7)/16}
{-7/3 - sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + sqrt(7)}
{-7/3 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/16 + sqrt(7)}
{-9/4 - sqrt(33)/48 + sqrt(21)/16, sqrt(3)/48 + sqrt(231)/16 + 3*sqrt(7)/4}
{-37/16 - sqrt(33)/48 + sqrt(21)/8, sqrt(3)/24 + sqrt(231)/16 + 15*sqrt(7)/16}
{-109/48 - sqrt(77)/16 - sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/16 + sqrt(231)/16 + 13*sqrt(7)/16}
{-107/48 - sqrt(77)/16 - sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/16 + sqrt(231)/16 + 11*sqrt(7)/16}
{-109/48 - sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + sqrt(231)/16 + 13*sqrt(7)/16}
{-107/48 - sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-53/24 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/8, -sqrt(11)/48 + sqrt(3)/24 + sqrt(231)/16 + 5*sqrt(7)/8}
{-13/6 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/8, -sqrt(11)/48 + sqrt(3)/24 + sqrt(231)/16 + sqrt(7)/2}
{-229/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 37*sqrt(7)/32}
{-227/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 35*sqrt(7)/32}
{-75/32 - 3*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(3)/32 + sqrt(11)/32 + sqrt(231)/32 + 33*sqrt(7)/32}
{-223/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 31*sqrt(7)/32}
{-223/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 31*sqrt(7)/32}
{-221/96 - sqrt(77)/32 - sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-221/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 29*sqrt(7)/32}
{-73/32 - 5*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -5*sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 27*sqrt(7)/32}
{-73/32 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 27*sqrt(7)/32}
{-217/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 25*sqrt(7)/32}
{-215/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 23*sqrt(7)/32}
{-77/32 - 3*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/32 + 39*sqrt(7)/32}
{-77/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + 7*sqrt(3)/96 + 39*sqrt(7)/32}
{-229/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/32 + 37*sqrt(7)/32}
{-227/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 35*sqrt(7)/32}
{-223/96 + sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + 7*sqrt(3)/96 + 31*sqrt(7)/32}
{-211/96 - sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 19*sqrt(7)/32}
{-215/96 - sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(11)/96 + 7*sqrt(3)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-223/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 31*sqrt(7)/32}
{-211/96 - sqrt(77)/32 - sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(11)/96 + 7*sqrt(3)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-71/32 - sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 21*sqrt(7)/32}
{-71/32 - sqrt(33)/96 + 5*sqrt(21)/32 + 3*sqrt(77)/32, 5*sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 21*sqrt(7)/32}
{-13/6 - sqrt(33)/48 + sqrt(77)/16 + sqrt(21)/8, sqrt(11)/48 + sqrt(3)/24 + sqrt(231)/16 + sqrt(7)/2}
{-103/48 - sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + sqrt(231)/16 + 7*sqrt(7)/16}
{-55/24 + sqrt(77)/8, sqrt(11)/24 + 7*sqrt(7)/8}
{-109/48 - sqrt(21)/16 + sqrt(77)/8, -sqrt(3)/48 + sqrt(11)/24 + 13*sqrt(7)/16}
{-13/6 - sqrt(33)/48 + sqrt(77)/16, sqrt(11)/48 + sqrt(231)/16 + sqrt(7)/2}
{-103/48 - sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + sqrt(231)/16 + 7*sqrt(7)/16}
{-7/3 + sqrt(77)/16 + 3*sqrt(21)/16, sqrt(11)/48 + sqrt(3)/16 + sqrt(7)}
{-55/24 + sqrt(77)/16 + 3*sqrt(21)/16, sqrt(11)/48 + sqrt(3)/16 + 7*sqrt(7)/8}
{-75/32 + sqrt(33)/96 + 3*sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/32 + sqrt(11)/32 + 33*sqrt(7)/32}
{-109/48 + sqrt(77)/16 + sqrt(21)/8, sqrt(11)/48 + sqrt(3)/24 + 13*sqrt(7)/16}
{-215/96 - sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-211/96 - sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-55/24 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + 7*sqrt(7)/8}
{-75/32 - sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/32 + 33*sqrt(7)/32}
{-71/32 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 21*sqrt(7)/32}
{-109/48 + sqrt(77)/16, sqrt(11)/48 + 13*sqrt(7)/16}
{-211/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-19/8 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(231)/16 + sqrt(3)/16 + 9*sqrt(7)/8}
{-71/32 - 3*sqrt(77)/32 - sqrt(33)/96 + 11*sqrt(21)/32, -sqrt(11)/32 + 11*sqrt(3)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-109/48 - sqrt(77)/16 + sqrt(21)/4, -sqrt(11)/48 + sqrt(3)/12 + 13*sqrt(7)/16}
{-223/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 5*sqrt(3)/96 + 31*sqrt(7)/32}
{-209/96 - sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 7*sqrt(3)/96 + 17*sqrt(7)/32}
{-209/96 - sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-205/96 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 13*sqrt(7)/32}
{-215/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 5*sqrt(3)/96 + 23*sqrt(7)/32}
{-203/96 - sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 11*sqrt(7)/32}
{-71/32 - sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/32 + 21*sqrt(7)/32}
{-69/32 + sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/32 + 15*sqrt(7)/32}
{-103/48 - sqrt(21)/16 + sqrt(77)/8, -sqrt(3)/48 + sqrt(11)/24 + 7*sqrt(7)/16}
{-13/6 - sqrt(21)/8 + sqrt(77)/8, -sqrt(3)/24 + sqrt(11)/24 + sqrt(7)/2}
{-109/48 + sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, -sqrt(231)/16 + sqrt(3)/48 + sqrt(11)/48 + 13*sqrt(7)/16}
{-55/24 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 + sqrt(11)/48 + 7*sqrt(7)/8}
{-53/24 - sqrt(21)/8 + sqrt(77)/8, -sqrt(3)/24 + sqrt(11)/24 + 5*sqrt(7)/8}
{-107/48 - 3*sqrt(21)/16 + sqrt(77)/8, -sqrt(3)/16 + sqrt(11)/24 + 11*sqrt(7)/16}
{-211/96 + sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + 7*sqrt(3)/96 + 19*sqrt(7)/32}
{-209/96 + sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + 5*sqrt(3)/96 + 17*sqrt(7)/32}
{-9/4 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(231)/16 + sqrt(3)/16 + 3*sqrt(7)/4}
{-211/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 19*sqrt(7)/32}
{-13/6 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + sqrt(7)/2}
{-103/48 + sqrt(77)/16, sqrt(11)/48 + 7*sqrt(7)/16}
{-215/96 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 23*sqrt(7)/32}
{-37/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 + sqrt(3)/24 + 15*sqrt(7)/16}
{-35/16 + sqrt(77)/16, sqrt(11)/48 + 9*sqrt(7)/16}
{-217/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 25*sqrt(7)/32}
{-53/24 - sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + 5*sqrt(7)/8}
{-71/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 9*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + 3*sqrt(3)/32 + 21*sqrt(7)/32}
{-33/16 - sqrt(33)/48 + sqrt(21)/8, sqrt(3)/24 + 3*sqrt(7)/16 + sqrt(231)/16}
{-205/96 - sqrt(77)/32 - sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(11)/96 + 5*sqrt(3)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
{-53/24 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/16 + 5*sqrt(7)/8}
{-101/48 - sqrt(77)/16, -sqrt(11)/48 + 5*sqrt(7)/16}
{-107/48 - sqrt(21)/8 + sqrt(77)/16, -sqrt(3)/24 + sqrt(11)/48 + 11*sqrt(7)/16}
{-103/48 - sqrt(21)/8 + sqrt(77)/16, -sqrt(3)/24 + sqrt(11)/48 + 7*sqrt(7)/16}
{-13/6 - sqrt(77)/16 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(7)/2}
{-13/6 - 3*sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(7)/2}
{-9/4 - sqrt(21)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(3)/48 + 3*sqrt(7)/4}
{-35/16 - sqrt(21)/8 + sqrt(33)/48, -sqrt(231)/16 - sqrt(3)/24 + 9*sqrt(7)/16}
{-107/48 - 3*sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/16 + sqrt(11)/48 + 11*sqrt(7)/16}
{-109/48 - 3*sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/16 + sqrt(11)/48 + 13*sqrt(7)/16}
{-107/48 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/48 + 11*sqrt(7)/16}
{-109/48 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/48 + 13*sqrt(7)/16}
{-55/24 - sqrt(21)/8 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/24 + sqrt(11)/48 + 7*sqrt(7)/8}
{-7/3 - sqrt(21)/8 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/24 + sqrt(11)/48 + sqrt(7)}
{-203/96 - sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 11*sqrt(7)/32}
{-205/96 - sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 13*sqrt(7)/32}
{-69/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/32 + 15*sqrt(7)/32}
{-209/96 - sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 17*sqrt(7)/32}
{-209/96 - 3*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 17*sqrt(7)/32}
{-211/96 - 5*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - 5*sqrt(3)/96 + sqrt(11)/96 + 19*sqrt(7)/32}
{-211/96 - sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 19*sqrt(7)/32}
{-71/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + 5*sqrt(3)/96 + 21*sqrt(7)/32}
{-71/32 - 3*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 21*sqrt(7)/32}
{-215/96 - sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 23*sqrt(7)/32}
{-217/96 - 3*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 25*sqrt(7)/32}
{-67/32 - 3*sqrt(77)/32 - sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(11)/32 + sqrt(3)/32 + sqrt(231)/32 + 9*sqrt(7)/32}
{-67/32 - 7*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -7*sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 9*sqrt(7)/32}
{-203/96 - 3*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 11*sqrt(7)/32}
{-205/96 - sqrt(77)/32 - sqrt(33)/96 + sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
{-209/96 - 7*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -7*sqrt(3)/96 - sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-221/96 - 3*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/96 + 29*sqrt(7)/32}
{-217/96 - 7*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - 7*sqrt(3)/96 + sqrt(11)/96 + 25*sqrt(7)/32}
{-209/96 - 3*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-221/96 - 7*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - 7*sqrt(3)/96 + sqrt(11)/96 + 29*sqrt(7)/32}
{-73/32 - 3*sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/32 - sqrt(3)/96 + 27*sqrt(7)/32}
{-73/32 - 3*sqrt(77)/32 - 5*sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/32 - 5*sqrt(3)/96 + 27*sqrt(7)/32}
{-7/3 - sqrt(21)/8 - sqrt(77)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(3)/24 - sqrt(11)/48 + sqrt(7)}
{-113/48 - sqrt(77)/16 - sqrt(21)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(11)/48 - sqrt(3)/48 + 17*sqrt(7)/16}
{-53/24 - sqrt(77)/8, -sqrt(11)/24 + 5*sqrt(7)/8}
{-107/48 - sqrt(77)/8 + sqrt(21)/16, -sqrt(11)/24 + sqrt(3)/48 + 11*sqrt(7)/16}
{-7/3 - sqrt(77)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(11)/48 + sqrt(7)}
{-113/48 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/48 + 17*sqrt(7)/16}
{-13/6 - 3*sqrt(21)/16 - sqrt(77)/16, -sqrt(3)/16 - sqrt(11)/48 + sqrt(7)/2}
{-53/24 - 3*sqrt(21)/16 - sqrt(77)/16, -sqrt(3)/16 - sqrt(11)/48 + 5*sqrt(7)/8}
{-69/32 - 3*sqrt(77)/32 - 3*sqrt(21)/32 - sqrt(33)/96, -sqrt(11)/32 - sqrt(3)/32 + sqrt(231)/32 + 15*sqrt(7)/32}
{-107/48 - sqrt(21)/8 - sqrt(77)/16, -sqrt(3)/24 - sqrt(11)/48 + 11*sqrt(7)/16}
{-217/96 - 5*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - 5*sqrt(3)/96 - sqrt(11)/96 + 25*sqrt(7)/32}
{-221/96 - 5*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - 5*sqrt(3)/96 - sqrt(11)/96 + 29*sqrt(7)/32}
{-53/24 - sqrt(77)/16 - sqrt(21)/16, -sqrt(11)/48 - sqrt(3)/48 + 5*sqrt(7)/8}
{-69/32 - 3*sqrt(77)/32 - sqrt(33)/96 + sqrt(21)/32, -sqrt(11)/32 + sqrt(3)/96 + sqrt(231)/32 + 15*sqrt(7)/32}
{-73/32 - 3*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 27*sqrt(7)/32}
{-107/48 - sqrt(77)/16, -sqrt(11)/48 + 11*sqrt(7)/16}
{-221/96 - sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 29*sqrt(7)/32}
{-17/8 - 3*sqrt(21)/16 - sqrt(33)/48, -sqrt(3)/16 + sqrt(231)/16 + 3*sqrt(7)/8}
{-73/32 - 11*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - 11*sqrt(3)/96 + sqrt(11)/32 + 27*sqrt(7)/32}
